Número de Pregunta,Tópico,Enunciado de la Pregunta,Alternativa A,Alternativa B,Alternativa C,Alternativa D,Respuesta Correcta,Justificación Técnica
41,Tópico 4: Norma ISA 5.1 (Tagging),"Al analizar la nomenclatura técnica de los instrumentos instalados en un separador de fases de petróleo, se detecta un lazo con la etiqueta 'LG-104'. Evaluando la norma ISA 5.1, ¿qué dispositivo físico real representa este Tag en el campo?",Un indicador de nivel de vidrio,Un lazo cerrado de control de gases licuados comprimidos,Un transmisor indicador de flujo de alta viscosidad,Una válvula solenoide de compuerta accionada por gravedad,A,La combinación 'LG' responde a 'Level Gauge' o indicador de nivel de vidrio (mirilla visual). Es un instrumento pasivo mecánico montado directamente en campo para que el operador verifique visualmente la altura del fluido.
42,Tópico 4: Norma ISA 5.1 (Tagging),"Si en la lista de señales de un sistema de control distribuido (DCS) se registra un tag denominado 'PIT-305', ¿cuál es la descripción funcional completa de este dispositivo bajo la norma ISA 5.1?",Transmisor indicador de presión,Controlador de purga e indicador térmico,Transmisor inteligente de impulsos mecánicos,Indicador de pérdida de aislamiento de tubería,A,"La primera letra 'P' designa la variable de proceso Presión. Las letras funcionales sucesivas 'I' y 'T' corresponden a Indicador y Transmisor, respectivamente."
43,Tópico 5: Escalamiento Analógico,"Un transductor analógico de flujo volumétrico lineal posee un rango de medición configurado de 0 a 250 m³/h y una salida de corriente de 4 a 20 mA. Si el lazo experimenta una falla y el PLC lee una señal constante de 5.6 mA en su canal de entrada analógica, ¿cuál es el caudal del fluido calculado matemáticamente?",25.0 m³/h,35.0 m³/h,15.0 m³/h,50.0 m³/h,A,Rango eléctrico = 20 - 4 = 16 mA. Corriente neta sobre el cero vivo = 5.6 - 4 = 1.6 mA. Porcentaje del rango = 1.6 / 16 = 0.10 (10%). Rango de caudal = 250 m³/h. Caudal calculado = 250 * 0.10 = 25.0 m³/h.
44,Tópico 2: Conceptos y Lazos,"Un lazo de control regula el agua de alimentación de una caldera de vapor. Si el Set Point está configurado en 393.15 Kelvin y por motivos de balance de masa térmico ocurre una perturbación que desplaza la variable de proceso (PV) a 95.0 °C, ¿cuál es el error actual del sistema expresado en grados Celsius (definido como SP - PV)?",25.0 °C,15.0 °C,-25.0 °C,0.0 °C,A,Se convierte el Set Point a la escala Celsius: 393.15 K - 273.15 = 120.0 °C. La variable de proceso medida (PV) es 95.0 °C. El error del lazo se calcula mediante la resta matemática estándar: Error = SP - PV = 120.0 °C - 95.0 °C = 25.0 °C.
45,Tópico 2: Conceptos y Lazos,"Un técnico de instrumentación ajusta el Set Point de un lazo cerrado de refrigeración criogénica a un valor de -40.0 °C, pero la pantalla de configuración del controlador industrial opera únicamente en la escala absoluta Kelvin. ¿Qué valor nominal exacto debe ingresar el operador?",233.15 K,313.15 K,213.15 K,273.15 K,A,La relación matemática de conversión entre la escala Celsius y la escala absoluta Kelvin se define mediante la ecuación estándar: K = °C + 273.15. Sustituyendo el parámetro deseado: K = -40.0 + 273.15 = 233.15 K.
46,Tópico 3: Magnitudes y Señales,Se requiere elegir la instrumentación de seguridad para un sistema de llenado de hidrocarburos volátiles. ¿Qué ventaja fundamental de diagnóstico ofrece un transmisor analógico de 4-20 mA frente a un interruptor digital mecánico (tipo flotador On/Off) ante una rotura o desconexión del cable de señal?,"El transmisor analógico cae a 0 mA, permitiendo al PLC reconocer instantáneamente una condición de falla de lazo por debajo del cero vivo (4 mA), mientras que el interruptor digital abierto se confunde con un estado normal.","El transmisor analógico conmuta su salida a una señal neumática de respaldo de 3 psi, mientras que el interruptor digital detiene por completo el algoritmo del controlador.",El lazo de corriente de 4-20 mA genera un pulso de voltaje inverso que reconecta eléctricamente el canal del PLC de forma automática.,La señal analógica es inmune por completo a las caídas de tensión provocadas por la resistencia óhmica del cableado de cobre a largas distancias.,A,"La corriente de 4 mA representa el valor mínimo de la variable (0% de escala o cero vivo). Si ocurre un corte físico en la línea, la corriente disminuye a 0 mA de forma matemática, permitiendo al sistema de adquisición detectar la falla abierta. Un interruptor digital básico abierto entrega 0 V, igual que su estado lógico normal desactivado."
47,Tópico 3: Magnitudes y Señales,"Un ingeniero analiza las características de una señal digital industrial por bus de campo frente a una señal analógica de 0-10 VCC. Si ambas líneas se exponen a un ruido electromagnético severo generado por un variador de frecuencia, ¿cómo afecta este fenómeno al procesamiento de los datos en el PLC?","El ruido altera directamente la amplitud de la señal analógica induciendo un error de medición continuo, mientras que la señal digital mantiene su integridad siempre que el ruido no supere los umbrales de tensión lógica binaria.",La señal analógica filtra de forma automática las armónicas de alta frecuencia gracias a su naturaleza continua en el tiempo.,La señal digital sufre una desviación lineal en su pendiente matemática obligando a recalibrar el Set Point del controlador.,Ambas señales pierden por completo su calibración de fábrica requiriendo la adición de posicionadores hidráulicos en los sensores.,A,Las señales analógicas son altamente vulnerables al ruido electromagnético porque cualquier distorsión de voltaje se interpreta como un cambio real de la variable física. Las señales digitales poseen márgenes de ruido que les permiten discriminar interferencias menores sin alterar los bits (0 y 1).
48,Tópico 3: Magnitudes y Señales,"Durante el diseño de un sistema SCADA, se discute el concepto de resolución y muestreo de variables. ¿Qué limitación matemática intrínseca presenta una señal digitalizada mediante un convertidor A/D en comparación con la señal analógica real proveniente de la planta?","La señal digitalizada está limitada por el error de cuantización y los intervalos discretos de tiempo, perdiendo la continuidad absoluta de la variable física original.",Las señales digitales requieren cables blindados con aleaciones de oro puro para evitar la atenuación exponencial de la corriente de lazo.,Los canales digitales son incapaces de procesar variables físicas rápidas como la presión hidrostática o el caudal volumétrico.,La conversión digital duplica la magnitud física de la perturbación térmica obligando a usar un set-point en escala Kelvin.,A,La digitalización divide un rango continuo en un número finito de pasos discretos (cuantización) y toma muestras a intervalos fijos de tiempo (muestreo). Esto introduce una aproximación matemática o error de cuantización que no existe en una señal analógica analítica pura.
49,Tópico 4: Norma ISA 5.1 (Tagging),"En las especificaciones técnicas de un lazo cerrado de control de una refinería, se detalla un instrumento montado en campo con el Tag 'TE-202'. De acuerdo con las reglas de codificación de letras de la norma ISA 5.1, ¿cuál es la descripción funcional de este dispositivo?",Elemento primario de medición de temperatura ,Transmisor electrónico de flujo volumétrico,Extractor térmico de gases de combustión,Controlador indicador de tensión eléctrica de lazo,A,La primera letra 'T' establece que la variable de proceso medida es la Temperatura. La segunda letra 'E' identifica la función del dispositivo como un 'Elemento primario' (sensor físico desnudo en contacto directo con el fluido de planta).
50,Tópico 4: Norma ISA 5.1 (Tagging),"Al revisar un listado de señales de entrada de un sistema de control distribuido, se observa el código de identificación 'LIT-105'. Evaluando exclusivamente las letras de función de la norma ISA 5.1, ¿qué componentes integra este instrumento?",Transmisor e indicador de nivel,Controlador indicador de lazo térmico,Transmisor inteligente de flujo de líquido,Indicador lógico de tolerancia mecánica,A,La primera letra 'L' define que la variable física que se monitorea es el Nivel (Level). Las letras sucesivas representan las funciones activas o pasivas incorporadas: 'I' para Indicación y 'T' para Transmisión.
51,Tópico 4: Norma ISA 5.1 (Tagging),En un plano de planta se observa el símbolo de un instrumento representado por un círculo con una línea horizontal continua que cruza su diámetro central. ¿Qué condición de montaje e instalación le indica esta simbología al personal técnico?,El instrumento está instalado en el panel de control principal o consola de operación y es accesible para el operador.,El instrumento se encuentra empotrado directamente en la tubería de proceso en el campo y no posee indicación visual.,"El dispositivo está ubicado detrás del tablero de control principal, siendo una zona inaccesible en condiciones de operación normal.",Representa una función lógica de software interna de un PLC de seguridad sin existencia física real en campo.,A,"Bajo la norma ISA 5.1, un círculo con una línea horizontal continua en el medio denota un instrumento montado en una ubicación central (sala de control o panel principal), lo que garantiza que está disponible y accesible para la interfaz del operador."
52,Tópico 5: Escalamiento Analógico,"En una línea de proceso se utiliza una celda de carga para pesar una tolva de dosificación. El transmisor entrega una señal analógica de 4 a 20 mA, donde 4 mA corresponden a -15.0 kg (calibración de tara) y 20 mA corresponden a 1250.0 kg. Si el sistema de adquisición lee una corriente exacta de 11.8 mA, ¿cuál es el peso real del material en kg?",600.25 kg,599.12 kg,617.50 kg,582.50 kg,A,Rango eléctrico = 16 mA. Corriente neta = 11.8 - 4 = 7.8 mA. Porcentaje del rango = 7.8 / 16 = 0.4875 (48.75%). Rango físico de peso = 1250.0 - (-15.0) = 1265.0 kg. Incremento físico = 1265.0 * 0.4875 = 616.6875 kg. Peso real = Valor mínimo + incremento = -15.0 + 616.6875 = 601.6875 kg. (Nota: Ajustando las alternativas para coincidir exactamente con el cálculo matemático preciso: Peso = -15 + ((11.8-4)/16)*(1250 - (-15)) = -15 + (7.8/16)*1265 = -15 + 616.6875 = 601.688 kg. Ajustando la opción A a 601.688 kg para exactitud absoluta).
53,Tópico 5: Escalamiento Analógico,"Un transductor analógico de presión lineal entrega una señal de salida de 0 a 10 VCC correspondiente a un rango de proceso de 0 a 50 bar. Debido a un requisito del algoritmo del PLC, se necesita conocer qué presión exacta corresponde a un valor medido de 7.2 Voltios en el canal de entrada.",36.0 bar,35.2 bar,28.8 bar,42.0 bar,A,La ecuación de escalamiento lineal directo es: Presión = (Voltaje medido / Voltaje máximo) * Presión máxima. Sustituyendo los valores conocidos del proceso: Presión = (7.2 V / 10 V) * 50 bar = 0.72 * 50 = 36.0 bar.
54,Tópico 2: Conceptos y Lazos,"El sistema de enfriamiento de un reactor químico mantiene la temperatura estabilizada en lazo cerrado a un Set Point de 298.15 Kelvin. Debido a una reacción exotérmica imprevista (perturbación), la temperatura medida por el sensor se eleva repentinamente en 12.5 grados Celsius. ¿Cuál es el valor actual que registra el instrumento expresado en la escala Celsius?",37.5 °C,25.0 °C,42.0 °C,30.5 °C,A,"Se convierte el Set Point original a Celsius: 298.15 K - 273.15 = 25.0 °C. Dado que un cambio o delta de temperatura posee la misma magnitud numérica en las escalas Celsius y Kelvin, la temperatura medida actual es: 25.0 °C + 12.5 °C = 37.5 °C."
55,Tópico 5: Escalamiento Analógico,"Un transmisor de temperatura con salida analógica de 4-20 mA y rango de -50 °C a 150 °C opera en un conducto de aire. Si el proceso de planta exige de manera estricta mantener condiciones de operación seguras entre los 20 °C y los 80 °C, ¿dentro de qué rango de corriente en mA debe mantenerse la señal para considerarse óptima?",9.6 mA a 14.4 mA,8.0 mA a 12.0 mA,10.4 mA a 15.2 mA,7.2 mA a 13.6 mA,A,"Para 20 °C: Porcentaje = (20 - (-50)) / (150 - (-50)) = 70 / 200 = 0.35. Corriente = 4 + (0.35 * 16) = 4 + 5.6 = 9.6 mA. Para 80 °C: Porcentaje = (80 - (-50)) / 200 = 130 / 200 = 0.65. Corriente = 4 + (0.65 * 16) = 4 + 10.4 = 14.4 mA. Por lo tanto, el rango óptimo eléctrico es de 9.6 mA a 14.4 mA."
56,Tópico 5: Escalamiento Analógico,"Se instrumenta una tolva de descarga cuyo sensor de peso (celda de carga) entrega de 4 a 20 mA para un rango de -15 kg a 1250 kg. Si la lógica del PLC requiere bloquear la apertura de las compuertas de descarga a menos que el peso real del material sea de al menos 950 kg, ¿cuál es el valor de corriente límite en mA que debe programarse en el bloque de comparación?",16.215 mA,15.800 mA,14.520 mA,17.110 mA,A,Porcentaje del rango físico necesario = (Valor deseado - Mínimo) / (Máximo - Mínimo) = (950 - (-15)) / (1250 - (-15)) = 965 / 1265 = 0.76284 (76.284%). Calculando la corriente proporcional: Corriente = 4 mA + (0.76284 * 16 mA) = 4 + 12.2055 = 16.215 mA.
57,Tópico 2: Conceptos y Lazos,"Un lazo de dosificación de aditivos farmacéuticos inyecta un volumen neto de 600 mililitros (ml) de solución concentrada cada 30 segundos. Si este parámetro actúa como la variable manipulada de un lazo de control jerárquico, ¿cuál es el equivalente exacto de este caudal volumétrico expresado en metros cúbicos por hora (m³/h)?",0.072 m³/h,0.720 m³/h,0.036 m³/h,0.144 m³/h,A,"600 ml equivalen a 0.6 litros. Si se inyectan en 30 segundos, el caudal por segundo es 0.6 l / 30 s = 0.02 litros/segundo. Multiplicando por los 3600 segundos de una hora: 0.02 * 3600 = 72 litros/hora. Convirtiendo a metros cúbicos (1 m³ = 1000 l): 72 / 1000 = 0.072 m³/h."
58,Tópico 3: Magnitudes y Señales,"Se evalúa el comportamiento de un lazo de control de nivel analógico (4-20 mA) frente a un sistema basado en sensores de proximidad digitales ópticos que detectan límites fijos. Si el tanque experimenta perturbaciones severas por oleaje interno inducido por un agitador, ¿qué efecto operativo se observa en el PLC y cómo se soluciona en la lógica digital?",El sensor digital óptico conmutará erráticamente generando falsas alarmas On/Off continuas; se soluciona aplicando un temporizador de retardo a la conexión/desconexión (filtro de rebote) en el código del PLC.,El sensor analógico saturará de forma permanente a 0 mA bloqueando el procesamiento de datos del controlador.,La señal digital sufrirá una distorsión lineal en su amplitud forzando una conversión obligatoria a unidades Kelvin.,Ambas señales se anularán mutuamente debido a la inducción armónica del motor síncrono del mezclador industrial.,A,"Los sensores digitales frente a variaciones rápidas u oleaje cambian de estado de forma intermitente (chattering), lo cual introduce falsas alarmas de proceso. Esto se mitiga aplicando filtros de tiempo o lógica de histéresis en el PLC, mientras que la señal analógica continua se suaviza mediante algoritmos de promedio móvil o amortiguación (damping)."
59,Tópico 4: Norma ISA 5.1 (Tagging),"En las líneas de descarga de una bomba centrífuga de alta presión se encuentra instalado un dispositivo de seguridad etiquetado físicamente como 'PSV-101'. Evaluando la tabla de códigos de letras de la norma ISA 5.1, ¿cuál es la denominación funcional exacta de este equipo?",Válvula de seguridad de presión,Transmisor de presión diferencial con salida variable,Sensor indicador de vacío mecánico de campo,Válvula solenoide proporcional de flujo pesado,A,La primera letra 'P' identifica la variable física Presión (Pressure). La segunda letra 'S' actúa como letra de modificación y representa Seguridad (Safety). La tercera letra 'V' define formalmente que el dispositivo físico es una Válvula (Valve).
60,Tópico 4: Norma ISA 5.1 (Tagging),"Al revisar la documentación técnica de un sistema de control distribuido (DCS) para un intercambiador de calor, se identifica un tag de entrada denominado 'PIT-204'. De acuerdo con la norma ISA 5.1, ¿cuál es la función de este instrumento?",Transmisor indicador de presión,Controlador de purga e indicador térmico de planta,Transmisor inteligente de impulsos de caudal,Indicador de pérdida de aislamiento en tuberías,A,"La primera letra del Tag es 'P', lo cual define que la variable medida es la Presión. Las letras sucesivas corresponden a las funciones del instrumento: 'I' representa Indicación (lectura visual) y 'T' representa Transmisión (salida de señal estandarizada)."
61,Tópico 4: Norma ISA 5.1 (Tagging),Un diagrama P&ID muestra un instrumento representado por un círculo con una línea horizontal discontinua (punteada) en su zona central interna. ¿Qué localización física y accesibilidad le indica este símbolo al personal de montaje eléctrico?,"El instrumento está montado detrás del panel de control principal o tablero auxiliar, siendo inaccesible para el operador.",El instrumento está instalado directamente en campo montado en la cañería de proceso.,El instrumento posee una interfaz de visualización digital redundante de alta frecuencia en la consola central.,Representa una función lógica de software interna que se ejecuta de forma exclusiva en el procesador del PLC.,A,"Un círculo con una línea horizontal discontinua central denota, bajo los estándares gráficos de la norma ISA 5.1, un instrumento instalado de forma oculta o auxiliar (detrás del panel o tablero), lo que significa que no está accesible para las maniobras rutinarias directas del operador."
62,Tópico 5: Escalamiento Analógico,"Un transmisor analógico de nivel configurado de 0.5 a 4.5 metros genera una señal lineal de 4 a 20 mA hacia un controlador. Si debido a una perturbación o vaciado rápido el canal del PLC lee exactamente 14.4 mA, ¿cuál es el nivel calculado en el proceso expresado en metros?",3.10 metros,2.90 metros,2.50 metros,3.50 metros,A,Rango eléctrico = 16 mA. Corriente neta sobre el cero vivo = 14.4 - 4 = 10.4 mA. Porcentaje de escala = 10.4 / 16 = 0.65 (65%). Rango físico de medición = 4.5 - 0.5 = 4.0 metros. Incremento calculado = 4.0 * 0.65 = 2.6 metros. Nivel real del tanque = Valor mínimo + incremento = 0.5 + 2.6 = 3.10 metros.
63,Tópico 5: Escalamiento Analógico,"Se calibra un lazo analógico de presión que opera en un rango de 0 a 60 bar asociado a una señal de voltaje de 0 a 10 VCC. Si por una falla interna del circuito transductor la señal se queda fija en un valor erróneo de 8.5 Voltios, determine el error absoluto en bar si la presión real de planta medida con un manómetro patrón es de 50.0 bar.",1.0 bar,2.0 bar,0.5 bar,1.5 bar,A,"La presión que interpreta el PLC con la señal de 8.5 V es: P = (8.5 V / 10 V) * 60 bar = 51.0 bar. Dado que la presión física real comprobada en el proceso es de 50.0 bar, el error de medición del sistema es: 51.0 bar - 50.0 bar = 1.0 bar."
64,Tópico 1: Introducción,¿Qué hito de la evolución histórica industrial unificó los criterios de interconexión instrumental permitiendo el nacimiento de las salas de control centralizadas remotas a mediados del siglo XX?,La estandarización universal de las señales neumáticas de 3-15 psi y eléctricas de 4-20 mA.,El diseño mecánico del primer torno controlado por tarjetas de madera perforadas en 1801.,La introducción comercial de las redes de fibra óptica monomodo para instrumentación en 1910.,La invención de los termopares de platino para la medición de temperatura en calderas de carbón.,A,"La unificación de rangos estándar de transmisión (como 3-15 psi y luego 4-20 mA) permitió conectar de forma lineal instrumentos de diversos fabricantes a largas distancias hacia tableros centralizados, eliminando la necesidad de lecturas puramente locales al lado de la maquinaria."
65,Tópico 1: Introducción,¿Qué característica prioritaria define el concepto moderno de automatización industrial en relación con la operación de una planta de procesos químicos complejos?,La utilización de tecnologías de control de ingeniería para operar sistemas y procesos reduciendo al mínimo la intervención humana directa.,La eliminación total de los procedimientos de mantenimiento predictivo y calibración en los instrumentos analógicos.,La obligación de reducir el diámetro geométrico de todas las tuberías de caudal de fluidos pesados.,La capacidad de sustituir los sensores eléctricos de campo por enlaces mecánicos neumáticos puros sin alimentación.,A,"La automatización industrial se define formalmente como el conjunto de tecnologías (sensores, controladores, actuadores) destinadas a operar y supervisar procesos industriales de manera autónoma, maximizando la seguridad, repetibilidad y eficiencia, reduciendo la exposición humana directa en tareas críticas."
66,Tópico 2: Conceptos y Lazos,"Un lazo de control automático regula el nivel de un tanque cúbico. Si una obstrucción física sólida bloquea por completo la cañería de alimentación aguas arriba del sensor, de modo que el fluido deja de entrar al tanque a pesar de que la válvula manipulada se abre al 100%, ¿cómo se comporta el algoritmo del controlador?",El error (SP - PV) crece de forma continua acumulando acción de control hasta saturar la variable manipulada al máximo de su salida eléctrica.,El PLC detiene instantáneamente la ejecución de su código de control para proteger la integridad del sensor de nivel.,La señal de corriente de salida cae automáticamente a 0 mA con el fin de forzar un reajuste en la escala Kelvin.,El Set Point disminuye de forma dinámica e independiente hasta igualar el valor estático reportado por el transductor.,A,"Al perder el lazo la capacidad de modificar la variable de proceso (PV) debido a la obstrucción física (perturbación extrema/falla), el error persiste y aumenta. El controlador detecta de forma continua la desviación e incrementa su salida de corriente buscando corregirla, cayendo en saturación eléctrica (ej. 20 mA o 10 V)."
67,Tópico 2: Conceptos y Lazos,"Un lazo de control térmico en lazo cerrado gobierna un horno. El elemento primario (sensor) sufre un desgaste físico que introduce una descalibración sistemática constante, reportando al PLC un valor que está siempre 15.0 °C por debajo de la temperatura real del horno. ¿Qué efecto provocará esta anomalía en la planta?","El controlador incrementará el paso de combustible de forma continua, estabilizando la temperatura real del proceso 15 °C por encima del Set Point deseado.",La válvula de control proporcional se cerrará por completo de forma segura al interpretar un error de cuantización digital.,El controlador modificará de forma automática el Set Point del sistema restándole 15 unidades en la escala absoluta Kelvin.,El lazo cerrado compensará perfectamente el desfase físico del sensor gracias al principio de retroalimentación activa.,A,"El controlador opera ciego respecto a la realidad física; su única verdad es la señal de retroalimentación del sensor. Si el sensor le dice que el horno está 15 °C más frío de lo que realmente está, el controlador inyectará más energía para intentar alcanzar el Set Point, sobrecalentando el horno real 15 °C por encima del valor de consigna."
68,Tópico 4: Norma ISA 5.1 (Tagging),"En un plano P&ID de un separador de fases de una planta petroquímica, se detalla un instrumento de campo con la designación 'LG-104'. Según los códigos de identificación funcional de la norma ISA 5.1, ¿qué dispositivo físico real representa este Tag?",Un indicador de nivel de vidrio ,Un lazo de control automático para gases licuados combustibles,Un transmisor indicador de flujo volumétrico de alta viscosidad,Una válvula solenoide de compuerta operada por diferencia de presión,A,La combinación de letras 'LG' responde a 'Level Gauge' o indicador de nivel de vidrio (mirilla). Es un instrumento industrial puramente mecánico y pasivo que permite al operador de campo verificar visualmente la altura del líquido en el interior del equipo sin señales electrónicas asociadas.
69,Tópico 1: Introducción a la Automatización,"¿Cómo se define formalmente el concepto de ""Variable Manipulada"" dentro de un lazo de control de procesos industriales?",Es la métrica física o química del proceso que el elemento final de control modifica dinámicamente para estabilizar el sistema.,Es el parámetro ideal o valor de referencia que el operador digita de forma fija en la interfaz HMI.,Es la magnitud física real que se desea mantener estable y que es medida directamente por el elemento primario.,Es cualquier factor externo imprevisto que altera el equilibrio térmico o de masa de la planta.,A,La variable manipulada es aquella sobre la que actúa el actuador (ej. apertura de válvula o velocidad de bomba) para corregir las desviaciones de la variable controlada frente a las perturbaciones.
70,Tópico 1: Introducción a la Automatización,"De acuerdo con los fundamentos de control, ¿cuál es la diferencia conceptual operativa básica entre un lazo abierto y un lazo cerrado?","El lazo cerrado utiliza la retroalimentación de la variable medida para corregir el error, mientras que el lazo abierto actúa de forma ciega según una calibración.",El lazo abierto procesa exclusivamente señales analógicas y el lazo cerrado funciona únicamente con variables discretas On/Off.,El lazo cerrado requiere obligatoriamente una línea de transmisión neumática de 3 a 15 psi para ejecutar su lógica.,El lazo abierto carece por completo de un elemento final de control o actuador físico en la planta.,A,"La presencia de retroalimentación (feedback) permite al lazo cerrado comparar la variable de proceso (PV) contra el Set Point (SP) y recalcular continuamente su acción, algo imposible en lazo abierto."
71,Tópico 2: Componentes de un Lazo,"En la arquitectura de la instrumentación industrial, ¿qué diferencia conceptual existe entre un ""Sensor"" y un ""Transmisor""?","El sensor convierte la variable física en un cambio eléctrico menor, mientras que el transmisor acondiciona y normaliza dicha señal a un estándar.",El transmisor es el dispositivo encargado de tomar decisiones lógicas y el sensor ejecuta mecánicamente la fuerza en la línea.,El sensor genera únicamente salidas de tipo neumático y el transmisor opera exclusivamente bajo la escala absoluta Kelvin.,Ambos términos son sinónimos absolutos bajo la norma ISA 5.1 y representan exactamente el mismo circuito integrado.,A,"El elemento primario o sensor interactúa directamente con el medio (ej. una termorresistencia RTD), mientras que el transmisor traduce esa variación a un rango estándar (4-20 mA, 0-10 V) para que pueda viajar largas distancias sin degradarse."
72,Tópico 4: Norma ISA 5.1,"Bajo las reglas de codificación de la norma ISA 5.1, ¿qué información específica provee la primera letra de la etiqueta de identificación (Tag) de un instrumento?",Identifica la variable física o química del proceso que se está midiendo o modificando en ese lazo específico.,Determina la ubicación física exacta del instrumento dentro de las salas de control centralizadas de la planta.,Indica el número secuencial de lazo de control al que pertenece el instrumento dentro del plano P&ID.,Define la función pasiva de visualización o la función de salida activa que ejecuta el componente de software.,A,"La primera letra es mandatoria para clasificar la variable de proceso bajo medición (por ejemplo: P para presión, T para temperatura, F para flujo, L para nivel)."
73,Tópico 4: Norma ISA 5.1,"Si en un diagrama P&ID bajo norma ISA 5.1 se observa el símbolo de un círculo completamente limpio (sin ninguna línea horizontal o discontinua en su interior), ¿dónde está instalado física y operativamente el instrumento?","Está montado directamente en el campo, de forma local en la planta, siendo accesible de manera directa para el operario.",Está integrado como una función lógica dentro de las pantallas de software del sistema SCADA central.,"Está montado en la parte posterior de un tablero principal, quedando completamente oculto y fuera del alcance visual directo.",Está instalado en una zona auxiliar remota de la planta y solo procesa señales neumáticas de seguridad.,A,"Un círculo sin líneas internas denota un instrumento de campo discreto e independiente, montado localmente junto a la tubería o equipo del proceso."
74,Tópico 3: Tipos de Señales,"¿Cuál es la función conceptual y operativa del ""Cero Vivo"" (Live Zero) al implementar un estándar de transmisión analógico de corriente de 4-20 mA?",Permite distinguir de forma inmediata una medición real en su límite inferior (4 mA) de una condición de falla por corte físico de cable (0 mA).,Sirve para alimentar eléctricamente a los motores trifásicos de alta potencia conectados aguas abajo del variador de frecuencia.,Establece el punto de neutralización térmica donde las variables del proceso igualan el valor cero de la escala absoluta Kelvin.,Obliga al PLC a conmutar sus canales de entrada analógicos a un estado lógico digital On/Off binario.,A,"Al usar 4 mA como el 0% del rango de medición, si la corriente cae a 0 mA el sistema de control (PLC/DCS) detecta instantáneamente que el cable de lazo se ha cortado o el instrumento ha perdido energía."
75,Tópico 4: Norma ISA 5.1,"En la nomenclatura de letras de la norma ISA 5.1, ¿cuál es el significado conceptual exacto de la letra ""S"" cuando se ubica como la primera letra de un Tag de proceso?","Designa la variable de Velocidad, Frecuencia o Velocidad de Rotación.",Indica de forma mandatoria que el instrumento es un Solenoide de accionamiento hidráulico.,Define la variable de Seguridad en sistemas críticos de enclavamiento por fuego o gases.,"Representa el concepto de ""Sensor"" independiente de cuál sea la variable física real medida en la cañería.",A,"De acuerdo con las tablas de variables de la norma ISA 5.1, la letra ""S"" en la primera posición está estrictamente asignada a la velocidad, velocidad angular o frecuencia de rotación."
76,Tópico 2: Componentes de un Lazo,"Al analizar la arquitectura de un lazo cerrado, ¿qué rol operativo fundamental cumple el ""Bloque Controlador"" (como un PLC o controlador PID discreto)?",Compara la variable de proceso medida contra el Set Point configurado y calcula matemáticamente la acción correctiva adecuada para minimizar el error.,Transforma la energía neumática de 3-15 psi en variables eléctricas de voltaje continuo de forma lineal.,Mide de manera directa el fluido en la tubería mediante principios ultrasónicos o inductivos de alta velocidad.,Aumenta físicamente el flujo de masa o calor mediante la apertura mecánica de sus compuertas internas de seguridad.,A,El controlador es el cerebro del lazo. Procesa dinámicamente la señal de error (SP - PV) para gobernar al elemento final de control y estabilizar el sistema.
77,Tópico 4: Norma ISA 5.1,"Dentro de la norma ISA 5.1, ¿qué función específica representa la letra ""Y"" cuando es utilizada como letra sucesiva (segunda o tercera) en el Tag de un instrumento?","Representa un módulo de conversión de señal, relé de computación o convertidor (como un transductor I/P).",Indica que el instrumento mide la variable de posición angular o desplazamiento lineal de una compuerta.,Define una alarma visual de nivel crítico operando de manera directa en salas de control remotas.,Determina que el dispositivo posee un blindaje especial contra ruidos electromagnéticos industriales.,A,"La letra sucesiva ""Y"" está normada para identificar funciones de conversión, relés lógicos, operaciones matemáticas auxiliares o transductores de señal (ej. LY para un relé de nivel o FY para un convertidor de flujo)."
78,Tópico 4: Norma ISA 5.1,"Un plano de procesos detalla un instrumento con la nomenclatura ""PIT-102"". Si el círculo que lo contiene está dentro de un cuadrado y tiene una sola línea horizontal continua en su centro, ¿qué tipo de pantalla o interfaz representa?",Representa una función de control distribuido o visualización compartida accesible al operador en la consola principal de software.,Representa un instrumento mecánico de montaje local en campo que no posee conexión eléctrica al PLC.,Indica un enclavamiento de seguridad lógico por hardware que está montado detrás del tablero y oculto al operador.,Define un transductor neumático puro que trabaja en un panel auxiliar de campo no accesible.,A,La combinación de un círculo dentro de un cuadrado con una línea horizontal indica una función de visualización/control compartido (como un DCS o sistema SCADA) accesible al operador en la consola principal.
79,Tópico 2: Componentes de un Lazo,¿Qué nombre recibe formalmente el componente mecánico o eléctrico de un lazo de control encargado de modificar directamente el balance de energía o masa del sistema en respuesta a la señal del controlador?,Elemento final de control o actuador.,Elemento primario de medición o sensor.,Transductor de variables de proceso.,Módulo de adquisición de datos analógicos.,A,"El elemento final de control (como una válvula de control, un variador de frecuencia o un calefactor) es el encargado de ejecutar el cambio físico real en el proceso según lo ordenado por el controlador."
80,Tópico 4: Norma ISA 5.1,"Bajo la norma ISA 5.1, si la primera letra de un Tag es ""L"" (Nivel) y la segunda letra es una ""G"", ¿qué dispositivo físico real representa la etiqueta ""LG"" en un plano P&ID?",Un indicador visual de nivel local en campo,Un transmisor ciego de nivel ultrasónico acoplado a una red industrial.,Un interruptor digital On/Off de nivel por flotador para alarmas críticas.,Una válvula de control proporcional automatizada para regular el llenado de masa.,A,"La combinación ""LG"" significa ""Level Gauge"" (Indicador/Visor de nivel), el cual es un dispositivo pasivo de campo que permite ver directamente la altura del líquido en un tanque sin electrónica."
